"neighbourhood","postalCode","lon","lat"
"Sunrise Centre","N0B 2J0","-80.109357","43.486526"
"Old Zeller","N2A 0A3","-80.4123085","43.4544903"
"Grand River South","N2A 0B2","-80.4152648","43.4525017"
"Faith Church","N2A 1A9","-80.4329998","43.4292235"
"Centreville-Chicopee","N2A 1K1","-80.4420398","43.4443113"
"Stanley Park","N2A 1K4","-80.4470808","43.4457796"
"Chicopee-Centreville","N2A 1T2","-80.4234373","43.4336425"
"Stanley Park","N2A 1Z1","-80.4484714","43.4441057"
"Stanley Park","N2A 1Z2","-80.4495144","43.4468793"
"Stanley Park","N2A 2A8","-80.446907","43.4488985"
"Stanley Park","N2A 2A9","-80.4488191","43.4489099"
"Kinzie Avenue","N2A 2J9","-80.4345645","43.4339822"
"Jansen Avenue","N2A 2L4","-80.4342168","43.4306693"
"Jansen Avenue","N2A 2L8","-80.4321305","43.4316878"
"Centreville-Chicopee","N2A 2M4","-80.4295226","43.4283338"
"Centreville-Chicopee","N2A 2M5","-80.4300442","43.4297211"
"Melvern Crescent","N2A 2W3","-80.4322175","43.4529599"
"Centreville-Chicopee","N2A 3R6","-80.4269147","43.4518422"
"Chicopee-Centreville","N2A 3R7","-80.4373461","43.4485423"
"Lackner Woods","N2A 4B1","-80.418047","43.4503491"
"Stanley Park","N2A 4K7","-80.4492536","43.448275"
"Edgewater Estates","N2A 4L5","-80.4098739","43.4402596"
"Tremaine Park","N2A 4L6","-80.411613","43.4413016"
"Tremaine Park","N2A 4L7","-80.4107435","43.4434666"
"Tremaine Park","N2A 4M1","-80.407961","43.4438287"
"Shantz Park","N2B 1A5","-80.4557716","43.4569538"
"Sherwood Avenue","N2B 1K2","-80.4599429","43.4567071"
"Rosemount","N2B 1R3","-80.4637229","43.4601198"
"Tanglewood","N2B 1S5","-80.4561193","43.460265"
"Bridgeport Neighbourhood","N2B 2G1","-80.4809698","43.4762201"
"Grand River","N2B 2S7","-80.4371722","43.4570319"
"Lichty Crescent","N2B 2Z5","-80.4488191","43.4656188"
"Muskoka Court","N2B 3M2","-80.4429089","43.4654204"
"Grand River North","N2B 3V2","-80.4293488","43.4612964"
"Kingsdale","N2C 1G5","-80.4541205","43.4309241"
"Vanier Drive","N2C 1J9","-80.4578573","43.4231021"
"Courtland Shelley","N2C 1K6","-80.4627236","43.4232118"
"Willson/Traynor","N2C 1Z6","-80.4462117","43.4219748"
"Traynor-Vanier","N2C 2B1","-80.4540336","43.4218853"
"Courtland-Shelley","N2C 2C5","-80.4616809","43.4237215"
"Alpine Community","N2E 1B4","-80.4809698","43.4195152"
"Laurentian Hills","N2E 1C3","-80.4962588","43.4178078"
"Chandler Mowat","N2E 1H6","-80.4957376","43.4229901"
"Valleyview Neighbourhood area","N2E 1L6","-80.5106765","43.4197585"
"Balser Creek","N2E 1P4","-80.4703701","43.4172836"
"Country Hills","N2E 2M2","-80.4734981","43.4151566"
"Cedar Hills Neighbourhood","N2E 1R3","-80.4759308","43.4129712"
"Ward 6","N2E 1T2","-80.4833155","43.4153068"
"Kingswood","N2E 2K2","-80.4736718","43.4203971"
"Country Hills/Alpine Community","N2E 2K3","-80.478711","43.4120095"
"Glencairn","N2E 2R1","-80.4906995","43.4107726"
"Glencairn","N2E 3E3","-80.4889187","43.4115571"
"Glencairn","N2E 3N1","-80.4962588","43.4112374"
"Williamsburg","N2E 3P9","-80.5085922","43.4112221"
"Laurentian West","N2E 3V7","-80.512066","43.405538"
"Copper Leaf Crescent","N2E 3W1","-80.50755","43.4033688"
"Foxglove Park","N2E 3Y6","-80.5245707","43.412256"
"Williamsburg","N2E 4A4","-80.5068552","43.4057006"
"Williamsburg","N2E 4C4","-80.5117186","43.4031192"
"Williamsburg","N2E 4H9","-80.50286","43.4061138"
"Kitchener Downtown","N2G 1A6","-80.4908732","43.4509427"
"Cherry Park","N2G 1R3","-80.5094606","43.4559275"
"Auditorium Neighbourhood","N2H 3G9","-80.472455","43.44761"
"Victoria Park","N2G 1K9","-80.4981697","43.4449867"
"Downtown Community","N2G 1W3","-80.4922631","43.4474776"
"Bread and Roses","N2G 1W6","-80.4933923","43.4454082"
"Asgard Green/Cherry St","N2G 2C9","-80.5078974","43.446993"
"Eden Park Community","N2G 2H5","-80.5151055","43.4534889"
"Rockway","N2G 2N9","-80.464114","43.4385539"
"Benton Street Neighbourhood","N2G 3H4","-80.4898308","43.4472742"
"Mike Wagner Green","N2G 3K3","-80.4909601","43.44222"
"Sydney Street Kids","N2G 3V2","-80.472803","43.4386853"
"Rockway","N2G 3V8","-80.4755833","43.4347391"
"Lackner Woods","N2G 3W6","-80.4854873","43.4446724"
"Lower Doon","N2G 4M4","-80.4790151","43.4453617"
"Duke St.","N2H 1B2","-80.480883","43.4474954"
"Lancaster","N2H 1N2","-80.4814911","43.4522467"
"Central Frederick","N2H 2N4","-80.4784504","43.4546032"
"Auditorium Neighbourhood (St Anne's Catholic Church)","N2H 1Z4","-80.4705439","43.4508821"
"Mension Green Community","N2H 2K6","-80.4758004","43.4587452"
"Kitchener Downtown","N2H 2L7","-80.487051","43.4509214"
"King East","N2H 2W7","-80.4826205","43.4477901"
"Stirling/Weber","N2H 3G4","-80.4752357","43.4457541"
"Ferdinand Street","N2H 3W1","-80.5032074","43.4607766"
"Downtown Community","N2H 3W4","-80.4885278","43.4512688"
"Downtown Neighbourhood Alliance","N2H 3W7","-80.4905258","43.4521074"
"Olde Berlin Town Neighbourhood","N2H 3Z1","-80.4900914","43.4525933"
"College Street","N2H 3Z4","-80.4925237","43.4538412"
"Huron Park Community Garden","N2H 4C7","-80.4932186","43.4580769"
"Mount Hope-Breithaupt Park ","N2H 4C8","-80.4943478","43.4589919"
"Louisa Street","N2H 4E2","-80.4950427","43.4605419"
"Mount Hope-Breithaupt Park","N2H 4E5","-80.4958245","43.4621737"
"Margaret/Guelph/Weber/Erb (Hartwood Green)","N2H 4J8","-80.4971274","43.4657884"
"Mount Hope-Breithaupt Park","N2H 4L2","-80.4922631","43.4668734"
"Mount Hope-Breithaupt Park ","N2H 4L5","-80.4926106","43.4707807"
"Mount Hope-Breithaupt Park ","N2H 4L6","-80.484358","43.4564406"
"Wellington/Lancaster","N2H 4T2","-80.4828811","43.4607181"
"Downtown Neighbourhood Alliance","N2H 4Y6","-80.4894834","43.4520202"
"Victoria Common","N2H 5N2","-80.4900046","43.4608666"
"Brubacher Street","N2H 5N3","-80.4860086","43.4609798"
"Mount Hope-Breithaupt Park","N2H 5R9","-80.4956508","43.4591754"
"Mount Hope-Breithaupt Park","N2H 5T4","-80.486356","43.4633958"
"Breithaupt/Old Pinke Street","N2H 5T8","-80.4982566","43.4610343"
"Guelph Street Garden","N2H 5Z3","-80.4833155","43.4660503"
"Hartwood Court","N2H 6B5","-80.499212","43.4656642"
"Mount Hope-Breithaupt Park","N2H 6C1","-80.4944347","43.4656379"
"St Teresa Catholic School community","N2H 6H2","-80.4873985","43.4682565"
"Queen's Heights","N2H 6S3","-80.4820992","43.4577435"
"Mount Hope-Breithaupt Park","N2J 2E9","-80.4966931","43.4710475"
"Mount Hope-Breithaupt Park ","N2J 2G5","-80.4965194","43.4716296"
"Bridgeport","N2K 1H1","-80.4853136","43.4835927"
"Inge Court","N2K 3V7","-80.4693275","43.4777801"
"Laurentian","N2M 1B9","-80.5047708","43.435389"
"Patricia Avenue","N2M 1K1","-80.5092869","43.4453182"
"Edible Forest Heights","N2M 1V6","-80.5171029","43.4326862"
"Brock Street","N2M 1X1","-80.4999937","43.4425274"
"Victoria Hills","N2M 2G2","-80.5256127","43.4422022"
"Westwood Neighbourhood","N2M 2K7","-80.5289121","43.4444174"
"Westwood Neighbourhood","N2M 2K8","-80.528999","43.4452454"
"Westmount","N2M 2R7","-80.5395043","43.4454483"
"Queen's Park","N2M 3B6","-80.4992989","43.4409769"
"Highland","N2M 3C2","-80.5065078","43.4412058"
"Glendale Park","N2M 3G1","-80.497388","43.4367873"
"Lakeside Park","N2M 3H2","-80.4981697","43.4342405"
"Mill-Courtland","N2M 3R2","-80.487746","43.4384438"
"Pattandon","N2M 3S5","-80.4828811","43.4344545"
"Lakeside Park","N2M 4C5","-80.4999937","43.4310342"
"Lakeside Park","N2M 4E3","-80.5044233","43.4311803"
"Community of Christ","N2M 4Y1","-80.5169292","43.4220718"
"Forest Hill"," N2M 4V7","-80.5082448","43.4294094"
"Paulander","N2M 5A5","-80.5165818","43.4399569"
"Moorgate Crescent","N2M 5G1","-80.5226604","43.4409115"
"Westmount","N2M 5N8","-80.5448867","43.4427617"
"Patricia Avenue","N2M1K1","-80.5092869","43.4453182"
"Patricia Avenue","N2M1K1","-80.5092869","43.4453182"
"Forest Heights","N2N 1L7","-80.5270888","43.4258301"
"Forests Heights/Westheights","N2N 2A6","-80.5422824","43.4125356"
"Forests Heights/Westheights","N2N 2A7","-80.5421956","43.4132004"
"Golden Meadow","N2N 2K5","-80.5512236","43.4158923"
"John Darling School Community","N2N 3A1","-80.547491","43.4225259"
"John Darling School Community","N2N 3A1","-80.547491","43.4225259"
"John Darling PS community","N2N 3G9","-80.5471438","43.4198092"
"Boardwalk","N2N 3H3","-80.5491403","43.4372193"
"Rez Park","N2N 3H7","-80.5469702","43.4357701"
"JW Gerth Public School","N2P 0A1","-80.4397799","43.383948"
"Lower Doon","N2P 1B8","-80.4152648","43.3927894"
"Doon Village","N2P 1G6","-80.4462117","43.3986799"
"Huron Community","N2R 1Y8","-80.480101","43.389721"
"Doon Pioneer Park","N2P 1L4","-80.4491667","43.3922065"
"Doon Pioneer Park","N2P 1L6","-80.4502965","43.3917785"
"Doon Pioneer Park","N2P 1P3","-80.448906","43.3934543"
"Doon Pioneer Park","N2P 1P5","-80.4516002","43.3942034"
"Carlyle Circle","N2P 1R6","-80.4536859","43.3940798"
"Doon Pioneer Park","N2P 2C2","-80.4347383","43.3956242"
"Chicopee/Deer Ridge","N2P 2E8","-80.4097","43.4186024"
"Settler's Grove","N2P 2H5","-80.4022219","43.4061759"
"Topper Woods","N2P 2T6","-80.4321305","43.3800176"
"Doon Pioneer Park","N2P 2W6","-80.4359553","43.3839252"
"Doon Pioneer Park","N2P 2X3","-80.4274363","43.3815649"
"Robert Ferrie/Southridge/Monarch Woods","N2P 2Y3","-80.4288272","43.3774984"
"Topper Woods/Doon","N2P 2Y4","-80.4309135","43.377674"
"Huron Natural Area","N2R 0A9","-80.4858348","43.392442"
"Doon Pioneer Park","N2R 1B3","-80.4550764","43.3900138"
"Kilkerran Crescent Neighbourhood","N2R 1B9","-80.4568145","43.3877693"
"Doon Pioneer Park","N2R 1L2","-80.4601167","43.3902873"
"Marl Meadow","N2R 1L3","-80.4587263","43.3925609"
"Brigadoon North","N2R 1L4","-80.4608119","43.3933334"
"Huron Village","N2R 1V6","-80.4801011","43.3846415"
"Parkvale Park","N2R 1Z1","-80.4761046","43.3922251"
"Breithaupt Area","N2H 4E3","-80.498604","43.4634503"
"Schneider's Creek","N2G 1W7","-80.494348","43.445264"
"Doon Valley","N2P 1B4","-80.403961","43.3928815"
"Downtown","N2G 4V6","-80.4926651","43.4515946"
"Heritage Park","N2B 3T9","-80.435086","43.4562597"
"Hohner Aveue","N2H 2V4","-80.4784504","43.4546032"
"Frecerick Street","N2H 2N4","-80.4787979","43.4555275"
"Winston Park","N2E 3K1","-80.4956508","43.4118586"
"KW Midtown","N2H 5N8","-80.5048576","43.4559163"
"Westwale","N2T 2H9","-80.5547825","43.440151"
"Trillium","N2R 1H1","-80.4882672","43.3851754"
"Riverwood","N2A 0B5","-80.4150909","43.4544265"
"New Doon","N2P 2Y7","-80.4246544","43.3759517"
"River Ridge","N2K 4J4","-80.4761046","43.4966876"
"Harvest Court","N2P 1T3","-80.4425613","43.3919502"
"River Ridge","N2K 4J6","-80.4795798","43.4951898"
"Resurrection Park","N2N 3C2","-80.5490535","43.4389287"
"Duchess Ave.","N2M 2K3","-80.5194475","43.4502697"
"Wildflower","N2R 0G3","-80.4959114","43.3840216"
"Country Hills & Williamsburg","N2E 1K8","-80.5023389","43.4127907"
