"code","neighbourhood","year","description"
"N2H 5R9","Mt. Hope-Breithaupt Park Neighbourhood",1994,"Duke St. Playground re-design & upgrades"
"N2C 1K6","Courtland Shelley Neighbourhood",1995,"Vanier Park bridge, playground upgrades & planting"
"N2E 1R3","Cedar Hills Neighbourhood",1996,"Residential Facade Improvement Loan Fund (no specific location all over the neighbourhood)"
"N2H 3Z4","College St. Neighbourhood",1997,"Safety audit and streetscape improvements"
"N2R 1B9","Kilkerran Crescent Neighbourhood",1998,"Accessible nature trail in neighbourhood woodlot"
"N2P 2C2","Doon Pioneer Community Association",1999,"Doon Skatium - Mobile skateboard park"
"N2H 5N3","Brubacher Street",2000,"Brubacher Park Upgrades"
"N2G 2C9","Asgard Green/Cherry St",2001,"Green space improvements and accessible walking trail"
"N2H 4C7","Huron Park Community Garden",2002,"Improvements to Huron Park (Weber and Louisa St)"
"N2E 3X5","Country Hills",2003,"Accessible playground and park upgrades (at the Country Hills Community Centre)"
"N2H 5N3","Breithaupt Park Neighbourhood",2004,"Upgrade to park area with soccer field, winter rink, storage shed and outdoor performance area with hydro, also expected is new LCD projector for Movie (at Breithaupt Centre)"
"N2E 3L7","Chandler-Mowat Neighbourhood",2005,"Spray-pad (at Chandler-Mowat Community Centre)"
"N2H 4J8","Margaret / Guelph / Weber / Erb (Hartwood Green)",2006,"Park landscaping"
"N2H 1T2","Auditorium Neighbourhood Association",2007,"Knollwood Park Revitalization"
"N2E 3L7","Chandler-Mowat Neighbourhood",2008,"Park upgrades, benches etc. (at t Chandler-Mowat Community Centre)"
"N2P 2Y4","Topper Woods/Doon",2009,"Playground and park upgrades (Marigold Park)"
"N2P 2Y3","Robert Ferrie Dr-Southridge St.- Monarch Woods Drive",2010,"Playground and park upgrades (Marigold Park)"
"N2H 3Z1","Olde Berlin Town Neighbourhood",2011,"Heritage banners & walking tour information posts (all around the neighbourhood)"
"N2E 1L6","Valleyview Neighbourhood area",2012,"Renovation of Windale Park"
"N2E 3L7","Chandler-Mowat Neighbourhood",2013,"In consultation"
"N2M 1X2","Brock Street",2014,"Homewood Green Park Upgrade"
"N2E 2M9","Ward 6",2015,"In consultation"
"N2A 4L5","Edgewater Estates",2016,"In consultation"
"N2H 1R9","Hohner Avenue",2016,"In consultation"
